#Wavelength[um] k_ext[m^2/kg] SSA
2.224450630056775235e+00 1.353945222318851194e+01 7.479184946865555794e-01
2.273766554899883108e+00 1.496861812735924602e+01 7.154010501539018740e-01
2.297139134581957176e+00 1.564595093781351842e+01 6.969078798841952249e-01
2.313229157647536116e+00 1.702055521345320344e+01 6.841769130742512139e-01
2.348001565149732794e+00 1.999123461098985999e+01 6.505667209849721466e-01
2.358186216245871325e+00 2.086133062549465222e+01 6.242704534285197226e-01
2.402145065504157628e+00 2.461682692878516221e+01 5.966481984428755325e-01
2.433911377385893360e+00 2.733068929902325550e+01 5.641788882853520093e-01
2.453614133909813422e+00 2.901393693945749064e+01 5.295020822017018070e-01
2.490096024750187542e+00 3.213066106895109186e+01 4.750678978815860987e-01
2.510626949459810131e+00 3.388466084717752835e+01 5.003874705775848142e-01
2.547622030915919211e+00 3.704522792280813803e+01 4.515128471022005208e-01
2.552442329228015172e+00 3.745703607514327871e+01 4.386095963162329747e-01
2.557857962528362172e+00 3.798593553985075744e+01 4.241127187134794418e-01
2.609609687686572421e+00 4.304009231448173267e+01 3.910351364880551017e-01
2.619412106878422186e+00 4.399741234999363826e+01 3.523414481589388636e-01
2.643677636745099591e+00 4.636722305274314948e+01 3.212437245897321603e-01
2.674776609999029553e+00 4.940439883528769371e+01 2.894586275574870804e-01
2.700425932151221176e+00 5.190935291988839140e+01 2.596984040764596102e-01
2.725731637942785390e+00 5.438074887765120025e+01 2.321854064819848240e-01
2.737094467441042678e+00 5.549046109520580217e+01 9.326090892630833906e-02
2.765924674486303303e+00 5.830606551817643890e+01 2.077220512201503055e-01
2.780316576527395167e+00 5.971160183563135604e+01 1.851153358681876249e-01
2.781687118350650412e+00 5.984545115601139287e+01 1.621712837226145787e-01
2.796216602274686380e+00 6.126442394159606408e+01 1.386394087534772446e-01
2.796843766228283457e+00 6.132567378274023895e+01 7.344559116422244571e-02
2.806405663975948706e+00 6.225950410688787429e+01 1.153097954010506854e-01
2.809375927191593902e+00 6.254958479323980924e+01 3.685967771138853877e-02
2.843046972585177912e+00 6.583795328075662212e+01 3.418712777311272433e-02
3.102790152173856342e+00 1.733928018698348978e+02 1.357070168764403645e-02
3.170872248500225865e+00 1.840761285180626317e+02 8.166865833786118856e-03
3.494334104814347253e+00 2.348332123287651996e+02 9.483179928429275735e-03
3.553082108393581073e+00 2.440443540137083573e+02 9.722252399058994854e-03
3.853212161404333980e+00 2.911019606345527109e+02 9.824363937877189992e-03
3.934317448968764008e+00 2.574038794499533083e+02 9.851957928003862719e-03
4.189311919293627007e+00 1.514573422922492796e+02 8.647728863453774117e-03
4.363496950571251531e+00 1.428731011781888469e+02 7.825127977219459297e-03
4.609542872051425100e+00 1.307473892290914819e+02 8.191097156325736692e-03
4.867304756206770833e+00 8.404864379616860504e+01 8.574492680956780077e-03
5.079657434606585475e+00 4.557668855310470235e+01 6.545023902710033099e-03
5.505264167855636437e+00 6.408704526695144921e+01 2.477471831083821741e-03
5.612563420622747934e+00 6.875367125918219813e+01 3.028015805818478571e-03
6.065532377825463506e+00 7.928749351722767358e+01 5.352163679159804843e-03
6.215079041357823186e+00 8.276521080421743193e+01 5.473245314827073112e-03
6.686978850581821732e+00 8.537315537332969484e+01 5.855322717440269997e-03
6.882275458731359485e+00 8.645245805291156671e+01 4.648016180289428825e-03
7.461078569440242170e+00 1.879413816859757844e+02 1.069906012871602030e-03
7.588559039362964498e+00 2.102941566405692413e+02 1.590264311268457277e-03
8.180145444934685983e+00 4.335213503007167333e+02 4.005041222152307817e-03
8.274028821886773244e+00 4.259335942200339105e+02 4.388260662025356140e-03
8.985161696391095631e+00 3.684590660567853888e+02 6.856129430417948548e-03
9.175594538907825282e+00 2.361899566321287978e+02 7.516995045512508966e-03
9.478974412318679654e+00 2.547112713246672655e+01 7.802503268308919049e-03
1.019983395469252940e+01 3.617372634033262102e+01 8.480898062647401758e-03
1.050611806860360176e+01 4.072112555229520581e+01 8.053635825146069488e-03
1.132125489270175756e+01 2.237404194187062956e+01 6.916530870904047390e-03
1.149205715148410434e+01 1.852962805933483281e+01 7.246413971928422453e-03
1.251576520043536433e+01 4.143099166299526459e+00 9.223577436505259186e-03
1.280767694406109669e+01 4.076086956521739885e-02 8.291577628763870458e-03
1.388175775118838473e+01 3.978332643405453339e+00 4.862311326189860949e-03
1.418259689521401334e+01 5.081206574417974409e+00 4.015132259971684187e-03
